id	discovery_title	create_date	catalog_name	schema_name	table_name	table_score	field_name	field_type	description	description	match_count	sample_count	rule_weight	is_masked	
26432	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	spt_mda	0.20	mdinfo	varchar(255)	Individual Info	En cok kullanilan isimler TR	2	100	10	NO	
26433	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	spt_jtext	10.00	value	text(2147483647)	Individual Info	En cok kullanilan isimler TR	1	1	10	NO	
26434	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	spt_ijdbc_mda	1.30	mdinfo	varchar(30)	Individual Info	En cok kullanilan isimler TR	2	100	10	NO	
26435	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	spt_ijdbc_mda	5.20	pre_query	varchar(600)	Individual Info	En cok kullanilan isimler TR	11	25	10	NO	
26436	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	monWaitEventInfo	0.20	Description	varchar(255)	Individual Info	En cok kullanilan isimler TR	2	100	10	NO	
26437	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	jdbc_function_escapes	0.21	escape_name	varchar(40)	Individual Info	En cok kullanilan isimler TR	1	95	10	NO	
26438	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	jdbc_function_escapes	0.21	map_string	varchar(254)	Individual Info	En cok kullanilan isimler TR	1	95	10	NO	
26439	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	ijdbc_function_escapes	0.23	escape_name	varchar(40)	Individual Info	En cok kullanilan isimler TR	1	88	10	NO	
26440	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	ijdbc_function_escapes	0.23	map_string	varchar(40)	Individual Info	En cok kullanilan isimler TR	1	88	10	NO	
26441	New Discovery @ Mon Oct 09 00:28:16 AST 2017	09.10.2017 00:28:29	master	dbo	monProcedureCacheMemoryUsage	0.18	AllocatorName	varchar(30)	Individual Info	En cok kullanilan isimler TR	1	56	10	NO	
